DESTINO;CTRC/GAI/PAL;T;AUTORIZACAO;PREV DE ENTREGA;NFISCAL;PEDIDO;SUBC;REMETENTE;PAGADOR;ABC;DESTINATARIO;CIDADE;UF;SET;MERCADORIA;FRETE;KgREA;M3;PESO CALCULO;SSWBAR;QVOL;COD ULT OCOR;DESC ULT OCOR;DATA ULT OCOR;PREVCHEGADA;MANIFESTO/END;CHAVE DACTE;COMISSAO RECEPCAO;TROCA GELO
BAU;RIO000300-0; N;17/06/2026;01/07/2026;38171;            ;     ;METALCAVA FUNDICAO DE METAIS E;ALEXANDRE DE SOUZA DEZERO 15.3;C.;ALEXANDRE DE SOUZA DEZERO 15.3;PALMITAL;SP;SJR;486;145,92;10,2;0,0786;23,58;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;DK4000076-1;42260607655407002140570200000003011006322700 ;25,68;
BAU;RIO000427-8; N;26/06/2026;13/07/2026;3284;            ;     ;AGRO COMERCIAL AGROMANIA LTDA;AGRO COMERCIAL AGROMANIA LTDA;C.;IMPERIO MAGNA FORNECIMENTOS E ;BAURU;SP;SJR;656;395,76;265;0;265;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;DK4000076-1;42260607655407002140570200000004251006425299 ;69,65;
BAU;RIO000339-5; N;19/06/2026;03/07/2026;8337;1260665263;     ;ADRIEL SCHNEIDER SELVA 0900203;ADRIEL SCHNEIDER SELVA 0900203;C.;THALITA LOPES;PIRATININGA;SP;SJR;1.381,12;161,39;17;0,1825;54,75;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260607655407002140570200000003371006349644 ;28,4;
BAU;RIO000450-2; N;29/06/2026;14/07/2026;96145;2026143851;     ;ROHDEN PORTAS E PAINEIS LTDA;ROHDEN PORTAS E PAINEIS LTDA;C.;FOGACA REPRESENTACOES COMERCIA;BAURU;SP;SJR;2.434,19;347,9;92;0,7;210;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260607655407002140570200000004481006446070 ;61,23;
BAU;RIO000452-9; N;29/06/2026;14/07/2026;96147;2026143217;     ;ROHDEN PORTAS E PAINEIS LTDA;ROHDEN PORTAS E PAINEIS LTDA;C.;PORTELAR COMERCIO DE MADEIRAS;PIRATININGA;SP;SJR;6.222,30;858,94;498;1,9237;577,11;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260607655407002140570200000004491006446123 ;151,17;
BAU;RIO000459-6; N;30/06/2026;15/07/2026;1304;            ;     ;CRIATIVA ESQUADRIAS E ARTEFATO;CRIATIVA ESQUADRIAS E ARTEFATO;C.;ELISANGELA REIS TORRES REIS TO;MARILIA;SP;SJR;1.670,00;283,05;50;0,602;180,6;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260607655407002140570200000004581006459917 ;49,82;
BAU;RIO000474-0; N;01/07/2026;16/07/2026;299670;            ;     ;ELBER IND DE REFRIGERACAO LTDA;CIR PAULISTA COM MAT MED HOSPI;..;CIR PAULISTA COM MAT MED HOSPI;MARILIA;SP;SJR;17.600,00;1.266,63;300;2,624;787,2;2;2;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260707655407002140570200000004721006473041 ;222,93;
BAU;RIO000475-8; N;01/07/2026;16/07/2026;96222;2026137821;     ;ROHDEN PORTAS E PAINEIS LTDA;ROHDEN PORTAS E PAINEIS LTDA;C.;MARCOS A DA SILVA ASSIS;ASSIS;SP;SJR;24.947,31;2.500,00;1280;5,7798;1733,94;0;1;50;FALTA DE MERCADORIA;08/07/2026;;SAO080565-3;42260707655407002140570200000004731006473057 ;440;
BAU;RIO000485-5; N;01/07/2026;16/07/2026;17791;46657;     ;BC AGRO COMERCIO LTDA;BC AGRO COMERCIO LTDA;..;DURATEX FLORESTAL LTDA;LENCOIS PAULISTA;SP;SJR;1.970,00;177,07;26;0,1437;43,11;1;1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;07/07/2026;;SAO080565-3;42260707655407002140570200000004831006476842 ;31,16;
BIR;JPR011789-7; D;25/03/2026;07/04/2026;122023;            ;     ;ELISANGELA ALVES DOS SANTOS PE;COLOR VISAO DO BRASIL IND ACRI;B.;COLOR VISAO DO BRASIL IND ACRI;ARACATUBA;SP;CAM;795,89;136,3;12,94;0;12,94;1;1;51;SOBRA DE MERCADORIA;02/07/2026;;DK4000072-8;51260307655407000872570060000115941005390664 ;33,58;
