Tipo;Unidade Origem;UF;Vol;CT-es;Peso (Kg);Valor Mercadoria;Frete CIF;Frete FOB;Frete TER;Frete SUB;Frete Total
Expedidos;SPO;SP;6.116;745;170.536;R$ 4.966.052,08;R$ 46.345,76;R$ 137.795,47;R$ 14.198,37;R$ 0,10;R$ 198.339,70
Expedidos;CTB;PR;1.514;240;62.365;R$ 1.477.118,72;R$ 35.090,75;R$ 32.108,27;R$ 3.543,30;R$ 12.988,63;R$ 83.730,95
Expedidos;JVE;SC;2.831;438;48.754;R$ 1.654.453,80;R$ 55.899,81;R$ 9.268,90;R$ 0,00;R$ 0,13;R$ 65.168,84
Expedidos;ITJ;SC;1.682;161;74.728;R$ 2.006.865,63;R$ 30.668,96;R$ 8.715,50;R$ 16.165,77;R$ 0,08;R$ 55.550,31
Expedidos;JDI;SP;953;140;39.152;R$ 1.230.881,11;R$ 27.266,28;R$ 22.581,79;R$ 56,61;R$ 0,02;R$ 49.904,70
Expedidos;JGA;SC;813;110;50.142;R$ 868.850,19;R$ 29.292,59;R$ 4.059,25;R$ 324,02;R$ 0,01;R$ 33.675,87
Expedidos;NVH;RS;834;155;23.533;R$ 549.040,30;R$ 20.012,97;R$ 8.287,93;R$ 1.179,17;R$ 0,04;R$ 29.480,11
Expedidos;FLP;SC;482;117;20.633;R$ 474.941,40;R$ 15.336,93;R$ 8.463,16;R$ 2.921,48;R$ 0,06;R$ 26.721,63
Expedidos;BNU;SC;834;65;15.155;R$ 502.174,92;R$ 10.382,92;R$ 6.488,69;R$ 421,10;R$ 0,01;R$ 17.292,72
Expedidos;CRI;SC;322;41;16.160;R$ 384.178,69;R$ 14.002,03;R$ 2.096,74;R$ 1.086,51;R$ 0,02;R$ 17.185,30
Expedidos;SBS;SC;509;79;6.840;R$ 161.447,72;R$ 13.299,70;R$ 598,06;R$ 0,00;R$ 0,02;R$ 13.897,78
Expedidos;LGS;SC;164;26;5.313;R$ 169.580,39;R$ 5.147,97;R$ 518,10;R$ 700,00;R$ 0,00;R$ 6.366,07
Expedidos;TBO;SC;155;25;4.674;R$ 163.560,78;R$ 3.603,31;R$ 479,90;R$ 121,40;R$ 0,06;R$ 4.204,67
Expedidos;RDS;SC;55;9;2.830;R$ 24.070,35;R$ 3.073,11;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.073,11
Expedidos;ISP;SP;9;7;364;R$ 16.808,36;R$ 0,00;R$ 1.842,53;R$ 0,00;R$ 0,00;R$ 1.842,53
Expedidos;CHA;SC;9;4;220;R$ 79.010,53;R$ 0,00;R$ 524,51;R$ 723,48;R$ 0,00;R$ 1.247,99
Expedidos;TUB;SC;10;8;155;R$ 5.344,59;R$ 705,61;R$ 47,88;R$ 0,00;R$ 0,02;R$ 753,51
Expedidos;JAC;SP;3;2;62;R$ 9.654,03;R$ 0,00;R$ 521,34;R$ 0,00;R$ 0,00;R$ 521,34
Expedidos;IPR;PR;4;3;55;R$ 2.907,14;R$ 0,00;R$ 282,56;R$ 0,00;R$ 0,01;R$ 282,57
Expedidos;TOTAL;;17.299;2.375;541.671;R$ 14.746.940,73;R$ 310.128,70;R$ 244.680,58;R$ 41.441,21;R$ 12.989,21;R$ 609.239,70
