nome              ;unidades          ;km_ida            ;km_volta          ;nro_linha         ;sigla_emit        ;sigla_dest        ;carrega_seg       ;carrega_ter       ;carrega_qua       ;carrega_qui       ;carrega_sex       ;carrega_sab       ;carrega_dom       ;vlr_min_frete     ;multi_carr_diario
SÃO PAULO X SINOP - SEGUNDA FEIRA;RON;2012;0;120;SAO;SIN;t;f;f;f;f;f;f;45000;f
SÃO PAULO X BRASILIA -  ITINERANTE;UDI;1148;0;24;SAO;BSB;f;t;t;f;f;t;f;30000;f
SÃO PAULO X JI PARANÁ -  ITINERANTE;RON;2627;0;2;SAO;JPR;f;f;t;f;f;t;f;57500;f
SÃO PAULO X PONTES E LACERDA - DIRETO;;1976;0;37;SAO;PLC;f;f;f;f;f;f;f;50000;f
SÃO PAULO X CAMPO GRANDE - DIRETO;;984;0;47;SAO;CGD;t;f;f;f;f;f;f;25000;f
SÃO PAULO X BRASÍLIA - DIRETO;;1007;0;51;SAO;BSB;f;t;t;t;t;t;f;42500;f
RONDONOPOLIS X CACERES - DIRETO;;435;0;84;RON;CAC;t;t;t;t;t;t;t;20000;f
RONDONOPOLIS X CAMPO NOVO PARECIS;CBA,TGA;617;0;85;RON;CNP;t;t;t;t;t;t;t;16000;f
RONDONOPOLIS X CAMPO NOVO DO PARECIS - DIRETO;;617;0;86;RON;CNP;t;t;t;t;t;t;t;16000;f
RONDONOPOLIS X TANGARÁ - ITINERANTE;CBA;467;0;87;RON;TGA;t;t;t;t;t;t;t;14000;f
RONDONOPOLIS X TANGARÁ - DIRETO;;467;0;88;RON;TGA;t;t;t;t;t;t;t;14000;f
RONDONOPOLIS X GOIÃNIA - DIRETO;;717;0;90;RON;GYN;t;t;t;t;t;t;t;12000;f
RONDONOPOLIS X GOIÂNIA - ITINERANTE;PVA,BDG;790;0;89;RON;GYN;t;t;t;t;t;t;t;12000;f
RONDONOPOLIS X BARRA DO GARÇAS - ITINERANTE;PVA;407;0;91;RON;BDG;t;t;t;t;t;t;t;10000;f
RONDONOPOLIS X BARRA DO GARÇAS - DIRETO;;406;0;92;RON;BDG;t;t;t;t;t;t;t;10000;f
RONDONOPOLIS X PRIMAVERA DO LESTE;;129;0;93;RON;PVA;t;t;t;t;t;t;t;10000;f
SÃO PAULO X BARRA DO GARÇAS - SEGUNDA FEIRA;ITB,RVD;1245;0;119;SAO;BDG;t;f;f;f;f;f;f;32500;f
SÕ PAULO X TRES LAGOAS -  ITINERANTE;;666;0;22;SAO;TLG;f;f;f;f;f;f;f;17500;f
SÃO PAULO X PRIMAVERA DO LESTE - DIRETO;;1448;0;45;SAO;PVA;f;f;f;f;f;f;f;32500;f
SÃO PAULO X BARRA DO GARÇAS -  ITINERANTE;JTI;1640;0;17;SAO;BDG;f;t;t;t;t;t;f;27500;f
SÃO PAULO X CAMPO GRANDE -  ITINERANTE;TLG,DRD;1354;0;20;SAO;CGD;f;t;t;f;t;t;f;27500;f
SUMARÉ X DOURADOS - DIRETO;;963;0;104;CAM;DRD;t;t;t;t;t;t;t;25000;f
SÃO PAULO DOURADOS -  ITINERANTE;CGD;1354;0;21;SAO;DRD;f;f;f;t;f;f;f;27500;f
SÃO PAULO X COLIDER - DIRETO;;2127;0;46;SAO;COL;f;f;f;f;f;f;f;50000;f
SÃO PAULO X GOIÂNIA -  ITINERANTE;UDI;1044;0;26;SAO;GYN;f;f;f;f;t;f;f;27500;f
SÃO PAULO X CNP - DIRETO;;1932;0;36;SAO;CNP;f;f;f;f;f;f;f;42500;f
SÃO PAULO X ANAPOLIS - DIRETO;;966;0;52;SAO;ANP;f;f;f;f;f;f;f;27500;f
RONDONOPOLIS X ALTA FLORESTA - ITINERANTE;CBA,NVM,LVR,SOR,SIN,COL;1006;0;76;RON;ALT;t;t;t;t;t;t;t;21000;f
RONDONOPOLIS X SINOP - ITINERANTE;CBA,NVM,LVR,SOR;695;0;77;RON;SIN;t;t;t;t;t;t;t;17500;f
RONDONOPOLIS X SINOP - DIRETO;;695;0;78;RON;SIN;t;t;t;t;t;t;t;17500;f
RONDONOPOLIS X JI PARANÁ - ITINERANTE;CBA,CAC,PLC;1308;0;79;RON;JPR;t;t;t;t;t;t;t;21000;f
RONDONOPOLIS X JI PARANÁ - DIRETO;;1303;0;80;RON;JPR;t;t;t;t;t;t;t;21000;f
SUMARÉ X DOURADOS - ITINERANTE;CGD;1153;0;105;CAM;DRD;t;t;t;t;t;t;t;27500;f
SUMARÉ X GOIÂNIA - DIRETO;;807;0;106;CAM;GYN;t;t;t;t;t;t;t;25000;f
SUMARÉ X GOIÂNIA - ITINERANTE;ITB,UDI;826;0;107;CAM;GYN;t;t;t;t;t;t;t;27500;f
SUMARÉ X BRASÍLIA - ITINERANTE;GYN,ITB,UDI;1035;0;109;CAM;BSB;t;t;t;t;t;t;t;30000;f
TRÊS LAGOAS X GOIÂNIA - DIRETO;;657;0;110;TLG;GYN;t;t;t;t;t;t;t;22500;f
TRÊS LAGOAS X GOIÂNIA - ITINERANTE;CGD;1166;0;111;TLG;GYN;t;t;t;t;t;t;t;22500;f
TRÊS LAGOAS X BRASÍLIA - DIRETO;;865;0;112;TLG;BSB;t;t;t;t;t;t;t;25000;f
TRÊS LAGOAS X BRASÍLIA - ITINERANTE;GYN;865;0;113;TLG;BSB;t;t;t;t;t;t;t;25000;f
CURITIBA X SÃO PAULO - DIRETO;;416;0;114;CWB;SAO;t;t;t;t;t;t;t;15000;f
CURITIBA X RONDONÓPOLIS - DIRETO;;1457;0;115;CWB;RON;t;t;t;t;t;t;t;30000;f
CURITIBA X RONDONÓPOLIS - ITINERANTE;CGD;1465;0;116;CWB;RON;t;t;t;t;t;t;t;30000;f
