DESTINO;CTRC/GAI/PAL;T;AUTORIZACAO;PREV DE ENTREGA;NFISCAL;PEDIDO;SUBC;REMETENTE;PAGADOR;ABC;DESTINATARIO;CIDADE;UF;SET;MERCADORIA;FRETE;KgREA;M3;PESO CALCULO;SSWBAR;QVOL;COD ULT OCOR;DESC ULT OCOR;DATA ULT OCOR;PREVCHEGADA;MANIFESTO/END;CHAVE DACTE;COMISSAO RECEPCAO;TROCA GELO
ACR;BIR098365-9; N;12/06/2026;14/07/2026;   376005;            ;     ;REAL BIRIGUI COM DE MAQUINAS E;REAL BIRIGUI COM DE MAQUINAS E;C.;JOSE ADRIANO DOS SANTOS OLIVEI;ACRELANDIA;AC;SAO;      1.625,89;     509,74;   60,000;   0,2800;   84,000;      0;      1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020837971006262097 ;          0,00;
ACR;BIR098367-5; N;12/06/2026;07/07/2026;      283;            ;     ;GLM PECAS LTDA;GLM PECAS LTDA;C.;UILDEMBERGUE LIMA DE SOUZA;RIO BRANCO;AC;SAO;        150,00;     250,34;    4,000;   0,1200;   36,000;      0;      1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020837981006262108 ;          0,00;
ALT;CAM411324-1; N;15/06/2026;29/06/2026;   820545;163667089885;     ;DIMENSIONAL BRASIL SOLUCOES LT;DIMENSIONAL BRASIL SOLUCOES LT;A1;VEZENTIN E KOCH LTDA ME;ALTA FLORESTA;MT;785;        239,88;      99,47;    0,840;   0,0030;    0,900;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004495971006280562 ;         15,73;
ALT;CAM411347-1; N;15/06/2026;29/06/2026;    36170;            ;     ;PTI CONEXOES LTDA;PTI CONEXOES LTDA;B.;AGROMOTOR MAQ AGRICOLAS COM E;ALTA FLORESTA;MT;785;      9.314,71;     408,82;   55,800;   0,3510;  105,300;      0;     15;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496821006285362 ;         64,63;
ALT;CAM411348-9; N;15/06/2026;29/06/2026;    18236;            ;     ;BRASIL VEDACAO E EXTRUSAO LTDA;BRASIL VEDACAO E EXTRUSAO LTDA;C.;VIDRACARIA E MARMORARIA CIDADE;ALTA FLORESTA;MT;785;      1.627,76;     314,80;   38,500;   0,1800;   54,000;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496231006282990 ;         49,77;
ALT;CAM411357-8; N;15/06/2026;29/06/2026;    26427;            ;     ;SENALANDIA LTDA;SENALANDIA LTDA;C.;PEPITA SOLUCOES LIMPEZA LTDA;ALTA FLORESTA;MT;785;      2.933,80;     306,77;  103,764;   0,1769;  103,764;      0;     23;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496761006285209 ;         48,50;
ALT;CAM411387-0; N;15/06/2026;29/06/2026;   804902;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;DISTRIB DE AUTO PECAS DOIS IRM;ALTA FLORESTA;MT;785;      1.061,22;     193,02;   16,363;   0,3844;  115,320;      0;      2;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496361006284320 ;         30,52;
ANP;CAM411364-1; N;15/06/2026;19/06/2026;   804761;            ;     ;ZF AUTOMOTIVE BRASIL LTDA;ZF AUTOMOTIVE BRASIL LTDA;A1;JEPECAS LTDA;ANAPOLIS;GO;751;     11.790,89;     704,82;  297,865;   2,1902;  657,060;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496551006284512 ;          0,00;
ANP;CAM411432-9; N;15/06/2026;19/06/2026;     6210;            ;     ;COMERCIAL AGRO ISCAS LTDA;COMERCIAL AGRO ISCAS LTDA;C.;TUCUNA PESCA LTDA;ANAPOLIS;GO;751;      1.016,00;     139,98;   41,000;   0,0573;   41,000;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497171006290371 ;          0,00;
ANP;CAM411433-7; N;15/06/2026;19/06/2026;     6211;            ;     ;COMERCIAL AGRO ISCAS LTDA;COMERCIAL AGRO ISCAS LTDA;C.;SOCO PESCA LTDA;ANAPOLIS;GO;750;      1.245,00;     166,61;   73,000;   0,1100;   73,000;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497181006290387 ;          0,00;
ARG;BIR098624-1; N;12/06/2026;30/06/2026;      493;            ;     ;JBR COMERCIO DE ARTIGOS FUNERA;JBR COMERCIO DE ARTIGOS FUNERA;..;JARDIM DAS PAINEIRAS SERVICO D;ARAGUAINA;TO;PMW;      2.945,00;     648,44;   50,000;   0,8800;  264,000;      0;      1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020840421006265779 ;        211,07;
ARG;BIR098919-3; N;12/06/2026;30/06/2026;     6103;            ;     ;DOCE PE INDUSTRIA E COMERCIO D;DOCE PE INDUSTRIA E COMERCIO D;..;CLAUDINO S/A LOJAS DE DEPARTAM;ARAGUAINA;TO;PMW;      3.420,00;     242,00;   29,760;   0,2700;   81,000;      0;      9;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020842151006269972 ;         78,77;
ARG;CAM411337-3; N;15/06/2026;30/06/2026;   165424;            ;     ;DISTRIBUIDORA DE MOVEIS IPANEM;DISTRIBUIDORA DE MOVEIS IPANEM;B2;TELMA FERNANDES;BARRA DO OURO;TO;PMW;      2.503,07;   1.508,46;   67,560;   2,7310;  819,300;      0;      3;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496151006282492 ;        491,00;
ARG;CAM411419-1; N;15/06/2026;30/06/2026;    31883*;            ;     ;GALTRON QUIMICA IND E COM LTDA;GALTRON QUIMICA IND E COM LTDA;..;HIDRAULICA SAMA LTDA;ARAGUAINA;TO;778;     64.161,21;   2.674,86; 1270,716;   1,3714; 1270,716;      0;     47;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004497081006289900 ;        870,67;
BAU;BSB109757-1; D;12/03/2026;24/03/2026;   160768;            ;     ;PAULO ALESSANDRE PEREIRA DOS S;DISTRIBUIDORA DE MOVEIS IPANEM;B2;DISTRIBUIDORA DE MOVEIS IPANEM;OURINHOS;SP;SJR;      2.955,75;     145,58;   42,000;   0,0000;   42,000;      0;      1;95;ATENDIMENTO/ INFORMACOES/ TRATATIVAS INTERNAS;15/06/26;;BAU000687-4;52260307655407000449570040000931541005251340 ;         25,62;
BAU;JTI118744-9; D;29/05/2026;12/06/2026;   164239;            ;     ;BRUNO BORGES FERREIRA GOME;DISTRIBUIDORA DE MOVEIS IPANEM;B2;DISTRIBUIDORA DE MOVEIS IPANEM;OURINHOS;SP;SJR;        781,28;     139,31;   30,000;   0,0000;   30,000;      0;      1;95;ATENDIMENTO/ INFORMACOES/ TRATATIVAS INTERNAS;15/06/26;;DK4000046-9;52260507655407000449570040000971381006117704 ;         24,52;
BAU;CGD033237-2; N;15/05/2026;28/05/2026;   224325;            ;     ;SAN STAR DISTRIBUIDORA DE COSM;ICEFRESH INDUSTRIA E COMERCIO;B.;ICEFRESH INDUSTRIA E COMERCIO;BAURU;SP;SJR;        148,87;       0,01;   13,248;   0,0000;   13,248;      0;      1;95;ATENDIMENTO/ INFORMACOES/ TRATATIVAS INTERNAS;15/06/26;;RAO001219-0;50260507655407000600570010000327981005953132 ;          0,01;
BDG;BIR095922-7; N;09/06/2026;24/06/2026;      334;            ;     ;FM COMERCIO NAUTICO LTDA;FM COMERCIO NAUTICO LTDA;C.;MAILE VIEIRA OLIVEIRA;SANTA TEREZINHA;MT;005;      2.989,90;     405,72;   40,000;   0,4050;  121,500;      0;      1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020814811006223282 ;          0,00;
BDG;BIR097489-7; N;11/06/2026;26/06/2026;  2003447;            ;     ;COLOR VISAO DO BRASIL IND ACRI;COLOR VISAO DO BRASIL IND ACRI;C.;DERMA RODRIGUES DA SILVA;CONFRESA;MT;004;        493,60;     133,63;   11,170;   0,2890;   72,250;      0;      1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020829261006247122 ;          0,00;
BDG;BIR097490-1; N;11/06/2026;23/06/2026;  2003236;            ;     ;COLOR VISAO DO BRASIL IND ACRI;COLOR VISAO DO BRASIL IND ACRI;C.;LAARAROODRIGUES.10 LAARAROODRI;BARRA DO GARCAS;MT;001;        430,55;      97,41;    6,600;   0,0880;   22,000;      0;      1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020829271006247138 ;          0,00;
BDG;CAM411340-3; N;15/06/2026;26/06/2026;    43042;            ;     ;DISTRIBUIDORA DE MOVEIS IPANEM;DISTRIBUIDORA DE MOVEIS IPANEM;B.;ANDREIA HENRIQUE;SANTA CRUZ DO XINGU;MT;005;      1.271,52;     450,24;   41,240;   0,7005;  210,150;      0;      1;80;CTRC EMITIDO;15/06/26;;;35260607655407000520570030004496181006282524 ;          0,00;
BEL;BIR094746-6; N;08/06/2026;14/07/2026;     4640;            ;     ;ALEX FERREIRA DE GOES;ALEX FERREIRA DE GOES;B.;DANIELLE DE SOUSA;MARABA;PA;N  ;        500,00;     701,00;   50,000;   0,4988;  149,640;      0;      1;83;CHEGADA NA UNIDADE INTERMEDIARIA ;15/06/26;;BIR000363-8;35260607655407000287570020020801801006200500 ;        257,04;
