CNPJ pagador;Nome pagador;ABC;Classificacao;Vendedor;Unidade responsavel;Ultimo movimento;Tipo tabela;Quantidade tabelas;Vigencia atual
05522464000181 ;HDC MAQUINAS E EQUIPAMENTOS LT;B;COMUM;vborges1 - VANESSA BORGES;JVE;18/06/2026;COMBINADA;18;30/06/2026
15023257000136 ;ASSOCOM SOCIEDADE ANONIMA;C;COMUM;vborges1 - VANESSA BORGES;JVE;21/05/2026;COMBINADA;14;30/06/2026
57119042000163 ;DIAMANFER FERRAMENTAS TECNICAS;;COMUM;jdi - JUNDIAI - GERAL    ;JDI;26/05/2022;COMBINADA;25;30/06/2026
55685439000197 ;SACADA CERTA EXPRESS COMERCIO;C;COMUM;silva16 - ROBERTA DA CUNH;JDI;29/05/2026;COMBINADA;68;30/06/2026
04907604000339 ;FORTPEL COMERCIO DE DESCARTAVE;;COMUM;nilce3 - NILCE MARA DE AL;CTB;09/04/2025;COMBINADA;20;30/06/2026
02788815000102 ;SAMRELLO AUTOMACAO INDUSTRIAL;B;COMUM;ricardo4 - JOSE RICARDO S;BNU;23/06/2026;COMBINADA;15;30/06/2026
38441355000199 ;KRONA ULTRATERM LTDA;;COMUM;lariza1 - MARCIELY LARIZA;JVE;26/03/2026;COMBINADA;20;30/06/2026
65911509000131 ;MOVEIS VARANDA LTDA;;COMUM;cunha3 - PRISCILLA GONCAL;CTB;23/06/2026;COMBINADA;26;30/06/2026
20848159000178 ;NABIL ABDEL AZIZ HUSSEIN;;COMUM;johnata9 - JOHNATAN DE OL;FLP;16/11/2023;COMBINADA;9;30/06/2026
39986504000168 ;RHINO FORCE HYD LTDA;;COMUM;ricardo4 - JOSE RICARDO S;BNU;02/04/2026;COMBINADA;31;30/06/2026
86375656000104 ;BENECKE IRMAOS E CIA. LTDA.;;COMUM;thiago6 - THIAGO ALEXANDE;TBO;10/03/2026;COMBINADA;8;30/06/2026
81550535000138 ;TATO COMERCIO DE MATERIAIS DE;;COMUM;vborges1 - VANESSA BORGES;JVE;18/07/2022;COMBINADA;14;30/06/2026
32361424000178 ;ODNEIA DA SILVA AZEVEDO FEGHER;C;COMUM;vborges1 - VANESSA BORGES;JVE;22/06/2026;COMBINADA;19;30/06/2026
95837316000149 ;HIGIE PLUS IND E COM LTDA;;COMUM;marlon1 - MARLON VALGAS  ;FLP;04/06/2026;COMBINADA;25;30/06/2026
60538029000153 ;MEGA SUL IMPORTACAO LTDA;;COMUM;schmitt4 - PATRICIA SCHMI;BNU;20/03/2026;COMBINADA;32;30/06/2026
86981966000172 ;ESMALGLASS DO BRASIL FRITAS ESM COR CERAM LTD;;COMUM;fran10 - FRANCIELE ROSSO ;CRI;09/03/2026;COMBINADA;16;30/06/2026
